buseness_id,category,yelp_rating,number_of_reviews,recommended
rM9fT2rlcmZtwLjHAlGBxQ,Indian,3.5,320,0
R6iCOOL2f1A4AU3VxMtC1A,Japanese,3.0,405,0
2IYKBQDS2ePRG4tr64btDg,Korean,3.5,934,0
xy2BRUHFGnOlRLfzxtcnzw,Indian,3.5,346,0
snTwH2EKG9LIh8GzPgDv8w,Italian,3.5,702,0
_j4K-IdaVd39jvqkPP_N0w,Mexican,3.0,676,0
G9dhca2szCof59SaODfhMA,Mexican,3.5,451,0
O2dUZZV1xnl4AxYMUVpffw,Indian,3.5,338,0
MBSKDy2NO0Md9Syvzh0dRw,Indian,3.5,627,0
n-YJcCcqEteJwGD5WqihtA,Sushi Bars,3.5,389,0
iGFQJz0IrhEXRudXRqcNpA,Mexican,3.5,455,0
0Nno1MtdueWgfBGoxUEkEQ,Mexican,3.5,1279,0
JbeFCVw4IkXK6pV6HA8O4Q,Diners,3.5,340,0
xhpCkDODDbmKHdraKuyzqA,Chinese,3.5,322,0
sW7WYYrHEvR8yEYxautAgQ,Chinese,3.5,2179,0
p5vVFjmaKftX6XLU4G_1jA,Indian,3.5,350,0
fvoNDZh7MxwWbVwfYuIhGQ,Mexican,3.5,483,0
w6e4cMnpRwrj_LvDHt4Ltw,Italian,3.5,916,0
usQRZ_mE5sPCiq9G7aJ64Q,Cantonese,3.5,367,0
cSZbOGeyBVyh2v_FjXXAbg,Japanese,3.5,495,0
MVVOLevQSzS3ogKyEW24Bw,Bars,3.0,764,0
Rj7wBSP9YS3_JycTW40-dQ,Indian,3.5,516,0
0bXD2r9ZKJHi-jntsz3SoQ,American (Traditional),3.5,313,0
dETpJUa-Dz4DsavSH7a7Gg,Indian,3.5,399,0
XlBLFvJfS1X780jAEpDf9A,Taiwanese,3.5,633,0
k-drEjxKmfqllwfY90STfA,Mexican,3.5,461,0
OZi0fOn8-ISUwhEAWC_8Gg,Cocktail Bars,3.5,443,0
EQyUAMjDj0gcP9nZnW2G4g,Indian,3.0,455,0
O90Q7WzpAhfuC-QYkCU0Fg,Vegetarian,3.5,375,0
aAyCUTc7y9ZIN1OZ7tGe6Q,Japanese,3.5,370,0
